2025-01-08 14:28:06,931 | INFO     | 6372 | 17836 | site_data_processing.py:37 | __init__ | Initializing LandDataProcessor
2025-01-08 14:28:06,946 | INFO     | 6372 | 17836 | site_data_processing.py:175 | process_land_data | Starting land data processing
2025-01-08 14:28:06,947 | ERROR    | 6372 | 17836 | site_data_processing.py:231 | process_land_data | Error processing point at index 0: list index out of range
2025-01-08 14:28:06,947 | ERROR    | 6372 | 17836 | site_data_processing.py:231 | process_land_data | Error processing point at index 1: list index out of range
2025-01-08 14:28:06,947 | ERROR    | 6372 | 17836 | site_data_processing.py:231 | process_land_data | Error processing point at index 2: list index out of range
2025-01-08 14:28:06,947 | ERROR    | 6372 | 17836 | site_data_processing.py:231 | process_land_data | Error processing point at index 3: list index out of range
2025-01-08 14:28:06,947 | ERROR    | 6372 | 17836 | site_data_processing.py:231 | process_land_data | Error processing point at index 4: list index out of range
2025-01-08 14:28:06,948 | ERROR    | 6372 | 17836 | site_data_processing.py:231 | process_land_data | Error processing point at index 5: list index out of range
2025-01-08 14:28:06,948 | INFO     | 6372 | 17836 | site_data_processing.py:235 | process_land_data | Processing boundary coordinates
2025-01-08 14:28:07,002 | INFO     | 6372 | 17836 | site_data_processing.py:91 | find_reference_point | Finding reference point among 0 points
2025-01-08 14:28:07,003 | ERROR    | 6372 | 17836 | site_data_processing.py:118 | find_reference_point | Error finding reference point: max() iterable argument is empty
2025-01-08 14:28:07,003 | ERROR    | 6372 | 17836 | site_data_processing.py:326 | process_land_data | Error in process_land_data: max() iterable argument is empty
2025-01-08 14:28:20,748 | INFO     | 6372 | 17836 | site_data_processing.py:37 | __init__ | Initializing LandDataProcessor
2025-01-08 14:28:20,763 | INFO     | 6372 | 17836 | site_data_processing.py:175 | process_land_data | Starting land data processing
2025-01-08 14:28:20,908 | ERROR    | 6372 | 17836 | site_data_processing.py:231 | process_land_data | Error processing point at index 5: list index out of range
2025-01-08 14:28:20,908 | INFO     | 6372 | 17836 | site_data_processing.py:235 | process_land_data | Processing boundary coordinates
2025-01-08 14:28:20,971 | INFO     | 6372 | 17836 | site_data_processing.py:91 | find_reference_point | Finding reference point among 5 points
2025-01-08 14:28:20,971 | INFO     | 6372 | 17836 | site_data_processing.py:113 | find_reference_point | Reference point found at index 2 with score 0.0021056395919121194
2025-01-08 14:28:20,972 | INFO     | 6372 | 17836 | site_data_processing.py:123 | corr_arrange_points | Arranging 4 points
2025-01-08 14:28:20,972 | INFO     | 6372 | 17836 | site_data_processing.py:322 | process_land_data | Land data processing completed successfully
